x	FHO	M-W	Ibraguimova	Owen
0,034571	1,1876e-06	1,8462e-08	2,086e-07	2,934e+263
0,039142	6,727e-07	3,425e-08	2,453e-07	1,3935e+167
0,040361	5,959e-07	4,044e-08	2,273e-07	1,0803e+146
0,042291	5,029e-07	5,266e-08	2,04e-07	1,6356e+116
0,044221	4,364e-07	6,866e-08	1,987e-07	3,49e+90
0,044323	4,335e-07	6,963e-08	1,987e-07	1,999e+89
0,045237	4,101e-07	7,9e-08	1,983e-07	3,928e+78
0,046456	3,851e-07	9,352e-08	1,988e-07	3,954e+65
0,048589	3,562e-07	1,2577e-07	2,044e-07	1,4117e+46
0,049097	3,518e-07	1,3498e-07	2,062e-07	1,2621e+42
0,050621	3,442e-07	1,6691e-07	2,159e-07	1,6045e+31
0,052856	3,48e-07	2,28e-07	2,475e-07	2,297e+18
0,053465	3,522e-07	2,483e-07	2,583e-07	2,828e+15
0,054887	3,681e-07	3,028e-07	2,914e-07	3,655e+09
0,057528	4,236e-07	4,381e-07	3,826e-07	41,16
0,05763	4,265e-07	4,443e-07	3,863e-07	23,88
0,05956	4,922e-07	5,819e-07	4,505e-07	0,005368
0,062201	6,077e-07	8,411e-07	5,836e-07	8,585e-06
0,062302	6,125e-07	8,53e-07	5,914e-07	7,372e-06
0,064944	7,51e-07	1,2315e-06	8,78e-07	8,658e-07
0,065045	7,571e-07	1,249e-06	8,893e-07	8,764e-07
0,066874	8,898e-07	1,6086e-06	1,0818e-06	1,0908e-06
0,068289	1,0385e-06	1,955e-06	1,2575e-06	1,292e-06
0,068804	1,1055e-06	2,099e-06	1,3375e-06	1,3741e-06
0,071343	1,533e-06	2,974e-06	1,925e-06	1,8619e-06
0,072078	1,6849e-06	3,289e-06	2,145e-06	2,033e-06
0,073005	1,897e-06	3,734e-06	2,444e-06	2,365e-06
0,073172	1,938e-06	3,82e-06	2,5e-06	2,438e-06
0,076553	2,999e-06	6,062e-06	3,794e-06	4,012e-06
0,078251	3,761e-06	7,644e-06	4,611e-06	4,695e-06
0,079571	4,507e-06	9,156e-06	5,354e-06	5,231e-06
0,081028	5,524e-06	1,1176e-05	6,315e-06	6,049e-06
0,081603	5,991e-06	1,2092e-05	6,743e-06	6,514e-06
0,084454	9,009e-06	1,7885e-05	9,441e-06	1,0716e-05
0,085381	1,0296e-05	2,032e-05	1,0612e-05	1,2734e-05
0,085564	1,0571e-05	2,083e-05	1,0867e-05	1,3037e-05
0,08784	1,4645e-05	2,85e-05	1,516e-05	1,7794e-05
0,090542	2,144e-05	4,135e-05	3,434e-05	2,635e-05
0,091186	2,346e-05	4,519e-05	3,447e-05	2,83e-05
0,092879	2,973e-05	5,707e-05	3,186e-05	3,021e-05
0,095722	4,467e-05	8,447e-05	2,006e-05	4,941e-05
0,096467	4,987e-05	9,361e-05	1,6452e-05	5,708e-05
0,101411	0,00010377	0,00018514	1,6841e-06	1,1907e-05
0,102528	0,00012158	0,000216	7,754e-07	7,894e-07
0,108318	0,0002688	0,0004796	2,226e-09	1,6727e-25
0,114819	0,0006595	0,0011754	4,09e-14	2,617e-86
0,118883	0,0011737	0,002064	2,826e-18	2,302e-155
0,121321	0,0016623	0,002904	2,855e-21	4,269e-211
0,124774	0,002712	0,004781	3,283e-26	3,426e-311
0,124977	0,002791	0,004927	1,5815e-26	6,496e-318
