0,03039    0,000001458
0,03182    0,000001169
0,03283    9,861e-7
0,03451    8,041e-7
0,03661    6,125e-7
0,03829    4,994e-7
0,04005    4,142e-7
0,04173    3,494e-7
0,04333    2,998e-7
0,04552    2,529e-7
0,04829    1,959e-7
0,05165    1,544e-7
0,05468    1,281e-7
0,05779    1,062e-7
0,06123    9,036e-8
0,06426    7,954e-8
0,06653    7,121e-8
0,06922    6,485e-8
0,07224    5,757e-8
0,07510    5,288e-8
0,07771    4,815e-8
0,08132    4,311e-8
0,08536    3,827e-8
0,08905    3,485e-8
0,09275    3,147e-8
0,09645    2,794e-8
0,09981    2,655e-8
0,1011    2,566e-8
