0,04658    1,547e-7
0,04812    1,664e-7
0,04833    1,790e-7
0,04861    1,843e-7
0,04945    1,897e-7
0,05022    1,925e-7
0,05309    2,275e-7
0,05435    2,259e-7
0,05484    2,465e-7
0,05519    2,690e-7
0,05813    4,192e-7
0,05848    4,641e-7
0,05960    4,955e-7
0,06212    6,074e-7
0,06303    6,163e-7
0,06450    8,612e-7
0,06499    8,996e-7
0,06576    8,996e-7
0,06765    0,000001342
0,06912    0,000001744
0,07010    0,000002017
0,07353    0,000003405
0,07507    0,000003938
0,07745    0,000005117
0,08047    0,000009223
0,08327    0,00001557
