0,07199    0,000001856
0,07636    0,000004002
0,07729    0,000003865
0,07796    0,000005291
0,08073    0,000005200
0,08140    0,000006875
0,08191    0,000004683
0,08216    0,000005875
0,08510    0,00001073
0,08594    0,00001018
0,08636    0,00001111
0,08729    0,00001406
0,08838    0,00001406
0,08947    0,00001994
0,08955    0,00001646
0,09039    0,00002138
0,09140    0,00002313
0,09342    0,00003085
0,09468    0,00003223
0,09502    0,00004115
0,09602    0,00003905
0,09678    0,00004151
0,09779    0,00004900
0,09787    0,00005885
0,1008    0,00008717
